built_unique_ID	projectID	projectName	projectRecordedBy	projectCreationDate	projectOwner	projectEmailContact	projectInstitutionID	projectNotes	projectContinent	projectCountry	projectState	projectLocality	siteID	siteType	siteDescription	stationID	stationName	stationDecimalLongitude	stationDecimalLatitude	stationNotes	replicateID	replicateName	replicateCollectorName	replicateCollectionDate	replicateCollectionTime	replicateStorageID	replicateStorageDate	replicateStorageLocation	replicateStorageMethod	replicateMinEleInM	replicateMEleInM	replicateMinDepthInM	replicateMDepthInM	replicateFlowRateInMperS	replicateFilterType	replicateFiltDurationInS	replicateVolume	replicateProcessLocation	replicateRiparianVegPerCover	replicateDissO2InmgPerL	replicateWaterTempInC	replicatepH	replicateTSSInMgperL	replicateECInuSpercm	replicateTurbInNTU	replicateDischarge	replicateTide	replicateChlorophyl	replicateSalinityInppt	replicateContaminantsInngPerg	replicatesTraceMetalsInmgPerkg	replicatePercentOrganicContent	replicateMircoActivity	replicateGrainSize	replicateNotes	tractID	tractName	tractAnalystName	tractDate	tractTime	tractLocation	tractMethod	tractMethodCitation	tractNotes	tractTubePlateID	tractDNAStorageLocation	tractMethodOfStorage	tractQuantMethod	tractConcInngPerul	assayID	assayName	assayDescription	assayOwnership	assayCitation	assayDate	assayGeneTarget	assayGeneSymbol	assayPrimeR	assayPrimeF	assayProbe	assayAmpliconLenInBP	assayProbeFluorescentTag	assayDyes	assayQuencher	assayProbeMods	assayTonID	assayKingdom	assayPhylum	assayClass	assayOrder	assayFamily	assayGenus	assaySubgenus	assaySpecies	assayCommonName	assayOrganismScope	assayEstabMeans	resultRunID	resultReactID	resultRecordedBy	resultDate	resultTime	resultPlatform	resultMachineID	resultWellLoc	resultSampleType	resultStdCurveID	resultTemplateConcInCopy	resultUserProvThres	resultUserProvCq	resultUserCopyNum	resultUserProvLOD	resultUserProvLOQ	resultnVolInuL	resultFwdPrimeBatch	resultRevPrimeBatch	resultNTPConcInngPeruL	resultPrimeConcInngPeruL	resultProbeConcInngPeruL	resultMgConcInngPeruL	resultPolymeraseBatch	resultPolymeraseConcInngPeruL	resultthermocyclerProtocol	resultPCRNotes	Cycle1	Cycle2	Cycle3	Cycle4	Cycle5	Cycle6	Cycle7	Cycle8	Cycle9	Cycle10	Cycle11	Cycle12	Cycle13	Cycle14	Cycle15	Cycle16	Cycle17	Cycle18	Cycle19	Cycle20	Cycle21	Cycle22	Cycle23	Cycle24	Cycle25	Cycle26	Cycle27	Cycle28	Cycle29	Cycle30	Cycle31	Cycle32	Cycle33	Cycle34	Cycle35	Cycle36	Cycle37	Cycle38	Cycle39	Cycle40	Cycle41	Cycle42	Cycle43	Cycle44	Cycle45	Cycle46	Cycle47	Cycle48	Cycle49	Cycle50	Cycle51	Cycle52	Cycle53	Cycle54	Cycle55	Cycle56	Cycle57	Cycle58	Cycle59	Cycle60	Cycle61	Cycle62	Cycle63	Cycle64	Cycle65	Cycle66	Cycle67	Cycle68	Cycle69	Cycle70	mdmaprCqwUserThres	mdmaprThres	mdmaprCq	mdmaprPCREffEq	mdmaprPCREff	mdmaprRSqPCREff	userPCREffEq	userPCREff	userRSqPCREff	userStdCurveLineEq	userStdCurveEfficiency	userStdCurveRSq	userStdCurveLOD95	userStdCurveLOQ35	mdmaprStdCurveLineEq	mdmaprStdCurveEfficiency	mdmaprStdCurveRSq	mdmaprStdCurveLOD95	mdmaprStdCurveLOQ35	mdmaprCopyNum
Keji_A_1_CytochromeB_Neg	Keji	Kejimkujik National Park eDNA	Abi Yogasekaram	2018-06-20	Tzitziki	tloezaqu@uoguelph.ca	University of Guelph	NA	North America	Canada	Nova Scotia	Annapolis	A	Lake	Kejimkujik National Park	B	Lower Peskowesk Br.	-65.188016	44.28381	NA	B	Neg	Tzitziki	2018-06-11	NA	EE-18-084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.7	16.2	4.3	NA	NA	0.0169	NA	NA	NA	0.01	NA	NA	NA	NA	NA	NA	B	EE-18-084	Tzitziki	NA	NA	NA	NA	NA	NA	NA	NA	NA	qPCR on mic	NA	A	Southern Pike	Targeted qPCR assay targeting 90 bp region of mitochondrial brook trout genome	Precision Biomonitoring	https://precisionbiomonitoring.com	2018-06-11	Cytochrome B	CytB	NA	NA	NA	194	FAM	FAM	NA	NA	8038	animalia	chordata	Actinopterygii	Esociformes	Esocidae	Esox	NA	niger	Chain pickerel	NA	NA	A	1	Tzitziki Loeza-Quintana	NA	NA	MIC	M0000646	A02	unkn	1	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	Hold at 95°C for 02:00, Cycle 40 times acquiring on Green, Hold at 95°C for 00:15, Hold at 60°C for 00:45, Acquire data	NA	8.607977	8.745033	8.745033	8.761244	8.749454	8.762717	8.742085	8.737664	8.739138	8.746506	8.758296	8.767138	8.753875	8.777454	8.783349	8.801034	8.796613	8.808403	8.814297	8.830508	8.839351	8.824613	8.861456	8.868825	8.864404	8.86293	8.883562	8.885036	8.898299	8.899773	8.90272	8.90272	8.933668	8.920405	8.915984	8.930721	8.960195	8.946932	8.955774	8.958722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	y = -3.39 x + 36.91	0.974237450121687	1	1.82	18.2	y = -3.26 x + 38.49	1.02457151519778	0.99	0.182	0.182	Unable to compute
Keji_A_10_CytochromeB_92A	Keji	Kejimkujik National Park eDNA	Abi Yogasekaram	2018-06-20	Tzitziki	tloezaqu@uoguelph.ca	University of Guelph	NA	North America	Canada	Nova Scotia	Annapolis	A	Lake	Kejimkujik National Park	B	Lower Peskowesk Br.	-65.188016	44.28381	NA	U	92A	Tzitziki	2018-06-11	NA	EE-18-088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.7	16.2	4.3	NA	NA	0.0169	NA	NA	NA	0.01	NA	NA	NA	NA	NA	NA	U	EE-18-088	Tzitziki	NA	NA	NA	NA	NA	NA	NA	NA	NA	qPCR on mic	NA	A	Southern Pike	Targeted qPCR assay targeting 90 bp region of mitochondrial brook trout genome	Precision Biomonitoring	https://precisionbiomonitoring.com	2018-06-11	Cytochrome B	CytB	NA	NA	NA	194	FAM	FAM	NA	NA	8038	animalia	chordata	Actinopterygii	Esociformes	Esocidae	Esox	NA	niger	Chain pickerel	NA	NA	A	10	Tzitziki Loeza-Quintana	NA	NA	MIC	M0000646	B09	unkn	1	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	Hold at 95°C for 02:00, Cycle 40 times acquiring on Green, Hold at 95°C for 00:15, Hold at 60°C for 00:45, Acquire data	NA	8.75977	8.893878	8.890931	8.923352	8.932195	8.971985	8.964616	8.979354	9.001459	9.010302	9.033881	9.039776	9.027986	9.036829	9.058934	9.057461	9.061882	9.072198	9.078093	9.08104	9.097251	9.079566	9.123778	9.117883	9.123778	9.129673	9.147357	9.165042	9.176832	9.185674	9.190095	9.19599	9.226938	9.243149	9.23578	9.253465	9.297676	9.302098	9.316835	9.334519	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	y = -3.39 x + 36.91	0.974237450121687	1	1.82	18.2	y = -3.26 x + 38.49	1.02457151519778	0.99	0.182	0.182	Unable to compute
Keji_A_11_CytochromeB_93A	Keji	Kejimkujik National Park eDNA	Abi Yogasekaram	2018-06-20	Tzitziki	tloezaqu@uoguelph.ca	University of Guelph	NA	North America	Canada	Nova Scotia	Annapolis	A	Lake	Kejimkujik National Park	B	Lower Peskowesk Br.	-65.188016	44.28381	NA	AF	93A	Tzitziki	2018-06-11	NA	EE-18-084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.7	16.2	4.3	NA	NA	0.0169	NA	NA	NA	0.01	NA	NA	NA	NA	NA	NA	AF	EE-18-084	Tzitziki	NA	NA	NA	NA	NA	NA	NA	NA	NA	qPCR on mic	NA	A	Southern Pike	Targeted qPCR assay targeting 90 bp region of mitochondrial brook trout genome	Precision Biomonitoring	https://precisionbiomonitoring.com	2018-06-11	Cytochrome B	CytB	NA	NA	NA	194	FAM	FAM	NA	NA	8038	animalia	chordata	Actinopterygii	Esociformes	Esocidae	Esox	NA	niger	Chain pickerel	NA	NA	A	11	Tzitziki Loeza-Quintana	NA	NA	MIC	M0000646	C08	unkn	1	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	Hold at 95°C for 02:00, Cycle 40 times acquiring on Green, Hold at 95°C for 00:15, Hold at 60°C for 00:45, Acquire data	NA	9.160621	9.331572	9.346309	9.361046	9.36252	9.387573	9.378731	9.406731	9.403784	9.439153	9.478943	9.481891	9.498102	9.521681	9.555577	9.573261	9.576209	9.601262	9.63221	9.644	9.655789	9.657263	9.677895	9.700001	9.702948	9.700001	9.714738	9.736844	9.739791	9.757476	9.754528	9.767792	9.781055	9.800214	9.78695	9.800214	9.822319	9.828214	9.832635	9.840004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	y = -3.39 x + 36.91	0.974237450121687	1	1.82	18.2	y = -3.26 x + 38.49	1.02457151519778	0.99	0.182	0.182	Unable to compute
Keji_A_12_CytochromeB_94A	Keji	Kejimkujik National Park eDNA	Abi Yogasekaram	2018-06-20	Tzitziki	tloezaqu@uoguelph.ca	University of Guelph	NA	North America	Canada	Nova Scotia	Annapolis	A	Lake	Kejimkujik National Park	B	Lower Peskowesk Br.	-65.188016	44.28381	NA	AG	94A	Tzitziki	2018-06-11	NA	EE-18-085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.7	16.2	4.3	NA	NA	0.0169	NA	NA	NA	0.01	NA	NA	NA	NA	NA	NA	AG	EE-18-085	Tzitziki	NA	NA	NA	NA	NA	NA	NA	NA	NA	qPCR on mic	NA	A	Southern Pike	Targeted qPCR assay targeting 90 bp region of mitochondrial brook trout genome	Precision Biomonitoring	https://precisionbiomonitoring.com	2018-06-11	Cytochrome B	CytB	NA	NA	NA	194	FAM	FAM	NA	NA	8038	animalia	chordata	Actinopterygii	Esociformes	Esocidae	Esox	NA	niger	Chain pickerel	NA	NA	A	12	Tzitziki Loeza-Quintana	NA	NA	MIC	M0000646	C09	unkn	1	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	Hold at 95°C for 02:00, Cycle 40 times acquiring on Green, Hold at 95°C for 00:15, Hold at 60°C for 00:45, Acquire data	NA	8.755349	8.917458	8.9543	8.974932	8.980827	9.007354	9.001459	9.016197	9.005881	9.02946	9.054513	9.061882	9.072198	9.09283	9.123778	9.137041	9.157673	9.1842	9.222517	9.237254	9.253465	9.265255	9.279992	9.313887	9.319782	9.321256	9.337467	9.36252	9.37431	9.389047	9.396415	9.42589	9.455364	9.515786	9.604209	9.795792	10.153906	10.713918	11.474355	12.377743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unable to compute	10.153906	38	y = 0.03 x + 1.03	1.0709765559154	1	Unable to compute	Unable to compute	Unable to compute	y = -3.39 x + 36.91	0.974237450121687	1	1.82	18.2	y = -3.26 x + 38.49	1.02457151519778	0.99	0.182	0.182	0.150306748466258
Keji_A_13_CytochromeB_95A	Keji	Kejimkujik National Park eDNA	Abi Yogasekaram	2018-06-20	Tzitziki	tloezaqu@uoguelph.ca	University of Guelph	NA	North America	Canada	Nova Scotia	Annapolis	A	Lake	Kejimkujik National Park	B	Lower Peskowesk Br.	-65.188016	44.28381	NA	AH	95A	Tzitziki	2018-06-11	NA	EE-18-086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.7	16.2	4.3	NA	NA	0.0169	NA	NA	NA	0.01	NA	NA	NA	NA	NA	NA	AH	EE-18-086	Tzitziki	NA	NA	NA	NA	NA	NA	NA	NA	NA	qPCR on mic	NA	A	Southern Pike	Targeted qPCR assay targeting 90 bp region of mitochondrial brook trout genome	Precision Biomonitoring	https://precisionbiomonitoring.com	2018-06-11	Cytochrome B	CytB	NA	NA	NA	194	FAM	FAM	NA	NA	8038	animalia	chordata	Actinopterygii	Esociformes	Esocidae	Esox	NA	niger	Chain pickerel	NA	NA	A	13	Tzitziki Loeza-Quintana	NA	NA	MIC	M0000646	C10	unkn	1	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	Hold at 95°C for 02:00, Cycle 40 times acquiring on Green, Hold at 95°C for 00:15, Hold at 60°C for 00:45, Acquire data	NA	9.431785	9.615999	9.646947	9.677895	9.682316	9.698527	9.707369	9.720633	9.728002	9.753055	9.766318	9.779582	9.781055	9.78695	9.797266	9.801687	9.81053	9.829688	9.854741	9.863583	9.878321	9.885689	9.907795	9.947585	9.95348	9.947585	9.974112	10.006534	10.040429	10.049272	10.077272	10.097904	10.117063	10.125905	10.133274	10.148011	10.177485	10.168643	10.187801	10.192222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	y = -3.39 x + 36.91	0.974237450121687	1	1.82	18.2	y = -3.26 x + 38.49	1.02457151519778	0.99	0.182	0.182	Unable to compute
Keji_A_14_CytochromeB_96A	Keji	Kejimkujik National Park eDNA	Abi Yogasekaram	2018-06-20	Tzitziki	tloezaqu@uoguelph.ca	University of Guelph	NA	North America	Canada	Nova Scotia	Annapolis	A	Lake	Kejimkujik National Park	B	Lower Peskowesk Br.	-65.188016	44.28381	NA	AI	96A	Tzitziki	2018-06-11	NA	EE-18-087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.7	16.2	4.3	NA	NA	0.0169	NA	NA	NA	0.01	NA	NA	NA	NA	NA	NA	AI	EE-18-087	Tzitziki	NA	NA	NA	NA	NA	NA	NA	NA	NA	qPCR on mic	NA	A	Southern Pike	Targeted qPCR assay targeting 90 bp region of mitochondrial brook trout genome	Precision Biomonitoring	https://precisionbiomonitoring.com	2018-06-11	Cytochrome B	CytB	NA	NA	NA	194	FAM	FAM	NA	NA	8038	animalia	chordata	Actinopterygii	Esociformes	Esocidae	Esox	NA	niger	Chain pickerel	NA	NA	A	14	Tzitziki Loeza-Quintana	NA	NA	MIC	M0000646	C11	unkn	1	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	Hold at 95°C for 02:00, Cycle 40 times acquiring on Green, Hold at 95°C for 00:15, Hold at 60°C for 00:45, Acquire data	NA	9.520208	9.68379	9.711791	9.729475	9.73537	9.764844	9.761897	9.791371	9.816425	9.840004	9.860636	9.888637	9.89011	9.910742	9.92548	9.946112	9.957901	9.984428	10.008008	10.01685	10.034535	10.031587	10.058114	10.081693	10.077272	10.06843	10.087588	10.105273	10.130326	10.128852	10.142116	10.153906	10.167169	10.165695	10.164222	10.173064	10.201064	10.180432	10.201064	10.198117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	y = -3.39 x + 36.91	0.974237450121687	1	1.82	18.2	y = -3.26 x + 38.49	1.02457151519778	0.99	0.182	0.182	Unable to compute
Keji_A_15_CytochromeB_97A	Keji	Kejimkujik National Park eDNA	Abi Yogasekaram	2018-06-20	Tzitziki	tloezaqu@uoguelph.ca	University of Guelph	NA	North America	Canada	Nova Scotia	Annapolis	A	Lake	Kejimkujik National Park	B	Lower Peskowesk Br.	-65.188016	44.28381	NA	AJ	97A	Tzitziki	2018-06-11	NA	EE-18-088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.7	16.2	4.3	NA	NA	0.0169	NA	NA	NA	0.01	NA	NA	NA	NA	NA	NA	AJ	EE-18-088	Tzitziki	NA	NA	NA	NA	NA	NA	NA	NA	NA	qPCR on mic	NA	A	Southern Pike	Targeted qPCR assay targeting 90 bp region of mitochondrial brook trout genome	Precision Biomonitoring	https://precisionbiomonitoring.com	2018-06-11	Cytochrome B	CytB	NA	NA	NA	194	FAM	FAM	NA	NA	8038	animalia	chordata	Actinopterygii	Esociformes	Esocidae	Esox	NA	niger	Chain pickerel	NA	NA	A	15	Tzitziki Loeza-Quintana	NA	NA	MIC	M0000646	C12	unkn	1	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	Hold at 95°C for 02:00, Cycle 40 times acquiring on Green, Hold at 95°C for 00:15, Hold at 60°C for 00:45, Acquire data	NA	9.1562	9.324203	9.32273	9.355151	9.353678	9.37431	9.375783	9.378731	9.383152	9.396415	9.411153	9.412626	9.412626	9.421469	9.436206	9.443574	9.445048	9.468627	9.501049	9.499575	9.508418	9.51726	9.527576	9.554103	9.555577	9.555577	9.56884	9.595367	9.614525	9.633684	9.667579	9.700001	9.744212	9.804635	9.893058	10.084641	10.436859	10.95266	11.682149	12.532484	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unable to compute	10.95266	39	y = 0.03 x + 1.07	1.07278926163328	1	Unable to compute	Unable to compute	Unable to compute	y = -3.39 x + 36.91	0.974237450121687	1	1.82	18.2	y = -3.26 x + 38.49	1.02457151519778	0.99	0.182	0.182	-0.15644171779141
Keji_A_16_CytochromeB_99A	Keji	Kejimkujik National Park eDNA	Abi Yogasekaram	2018-06-20	Tzitziki	tloezaqu@uoguelph.ca	University of Guelph	NA	North America	Canada	Nova Scotia	Annapolis	A	Lake	Kejimkujik National Park	C	Lower Peskowesk Br.	-65.188016	44.28381	NA	G	99A	Tzitziki	2018-06-11	NA	EE-18-089	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.8	18.8	4.5	NA	NA	0.0175	NA	NA	NA	0.01	NA	NA	NA	NA	NA	NA	G	EE-18-089	Tzitziki	NA	NA	NA	NA	NA	NA	NA	NA	NA	qPCR on mic	NA	A	Southern Pike	Targeted qPCR assay targeting 90 bp region of mitochondrial brook trout genome	Precision Biomonitoring	https://precisionbiomonitoring.com	2018-06-11	Cytochrome B	CytB	NA	NA	NA	194	FAM	FAM	NA	NA	8038	animalia	chordata	Actinopterygii	Esociformes	Esocidae	Esox	NA	niger	Chain pickerel	NA	NA	A	16	Tzitziki Loeza-Quintana	NA	NA	MIC	M0000646	A07	unkn	1	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	Hold at 95°C for 02:00, Cycle 40 times acquiring on Green, Hold at 95°C for 00:15, Hold at 60°C for 00:45, Acquire data	NA	8.979354	9.188621	9.237254	9.243149	9.24757	9.268202	9.257886	9.279992	9.285887	9.297676	9.303571	9.316835	9.297676	9.305045	9.306519	9.309466	9.303571	9.321256	9.333046	9.340414	9.346309	9.341888	9.353678	9.377257	9.383152	9.381678	9.397889	9.421469	9.449469	9.46568	9.493681	9.526102	9.55705	9.598314	9.651368	9.791371	10.05664	10.463386	11.086768	11.886996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unable to compute	10.463386	39	y = 0.03 x + 1.04	1.07217865477117	1	Unable to compute	Unable to compute	Unable to compute	y = -3.39 x + 36.91	0.974237450121687	1	1.82	18.2	y = -3.26 x + 38.49	1.02457151519778	0.99	0.182	0.182	-0.15644171779141
Keji_A_17_CytochromeB_84B	Keji	Kejimkujik National Park eDNA	Abi Yogasekaram	2018-06-20	Tzitziki	tloezaqu@uoguelph.ca	University of Guelph	NA	North America	Canada	Nova Scotia	Annapolis	A	Lake	Kejimkujik National Park	C	Lower Peskowesk Br.	-65.188016	44.28381	NA	H	84B	Tzitziki	2018-06-11	NA	EE-18-090	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.8	18.8	4.5	NA	NA	0.0175	NA	NA	NA	0.01	NA	NA	NA	NA	NA	NA	H	EE-18-090	Tzitziki	NA	NA	NA	NA	NA	NA	NA	NA	NA	qPCR on mic	NA	A	Southern Pike	Targeted qPCR assay targeting 90 bp region of mitochondrial brook trout genome	Precision Biomonitoring	https://precisionbiomonitoring.com	2018-06-11	Cytochrome B	CytB	NA	NA	NA	194	FAM	FAM	NA	NA	8038	animalia	chordata	Actinopterygii	Esociformes	Esocidae	Esox	NA	niger	Chain pickerel	NA	NA	A	17	Tzitziki Loeza-Quintana	NA	NA	MIC	M0000646	A08	unkn	1	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	Hold at 95°C for 02:00, Cycle 40 times acquiring on Green, Hold at 95°C for 00:15, Hold at 60°C for 00:45, Acquire data	NA	9.365467	9.493681	9.498102	9.526102	9.518734	9.536418	9.524629	9.554103	9.534945	9.55705	9.571788	9.587998	9.565893	9.586525	9.596841	9.610104	9.608631	9.621894	9.629263	9.644	9.652842	9.641052	9.673474	9.682316	9.676421	9.674948	9.689685	9.702948	9.717686	9.713264	9.716212	9.719159	9.739791	9.742739	9.732423	9.742739	9.77516	9.756002	9.770739	9.781055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	y = -3.39 x + 36.91	0.974237450121687	1	1.82	18.2	y = -3.26 x + 38.49	1.02457151519778	0.99	0.182	0.182	Unable to compute
Keji_A_18_CytochromeB_85B	Keji	Kejimkujik National Park eDNA	Abi Yogasekaram	2018-06-20	Tzitziki	tloezaqu@uoguelph.ca	University of Guelph	NA	North America	Canada	Nova Scotia	Annapolis	A	Lake	Kejimkujik National Park	C	Lower Peskowesk Br.	-65.188016	44.28381	NA	I	85B	Tzitziki	2018-06-11	NA	EE-18-091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.8	18.8	4.5	NA	NA	0.0175	NA	NA	NA	0.01	NA	NA	NA	NA	NA	NA	I	EE-18-091	Tzitziki	NA	NA	NA	NA	NA	NA	NA	NA	NA	qPCR on mic	NA	A	Southern Pike	Targeted qPCR assay targeting 90 bp region of mitochondrial brook trout genome	Precision Biomonitoring	https://precisionbiomonitoring.com	2018-06-11	Cytochrome B	CytB	NA	NA	NA	194	FAM	FAM	NA	NA	8038	animalia	chordata	Actinopterygii	Esociformes	Esocidae	Esox	NA	niger	Chain pickerel	NA	NA	A	18	Tzitziki Loeza-Quintana	NA	NA	MIC	M0000646	A09	unkn	1	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	Hold at 95°C for 02:00, Cycle 40 times acquiring on Green, Hold at 95°C for 00:15, Hold at 60°C for 00:45, Acquire data	NA	9.866531	10.008008	9.971165	9.980007	9.968217	10.024219	10.010955	10.031587	10.002113	10.021271	10.038956	10.05664	10.040429	10.061061	10.087588	10.103799	10.127379	10.155379	10.190748	10.208433	10.239381	10.243802	10.273277	10.305698	10.310119	10.313067	10.346962	10.367594	10.388226	10.392648	10.41328	10.414753	10.435385	10.445701	10.429491	10.439807	10.470755	10.456017	10.467807	10.472228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	Unable to compute	y = -3.39 x + 36.91	0.974237450121687	1	1.82	18.2	y = -3.26 x + 38.49	1.02457151519778	0.99	0.182	0.182	Unable to compute
